sample	unit	lib	platform	fq1	fq2
MZLU153208	BHK3LNDSX7.4	022110	ILLUMINA	../data/fastq_raw/P29362_1022_S75_L004_R1_001.fastq.gz	../data/fastq_raw/P29362_1022_S75_L004_R2_001.fastq.gz
MZLU153197	BHK3LNDSX7.4	024112	ILLUMINA	../data/fastq_raw/P29362_1023_S76_L004_R1_001.fastq.gz	../data/fastq_raw/P29362_1023_S76_L004_R2_001.fastq.gz
MZLU153198	BHK3LNDSX7.4	025113	ILLUMINA	../data/fastq_raw/P29362_1024_S77_L004_R1_001.fastq.gz	../data/fastq_raw/P29362_1024_S77_L004_R2_001.fastq.gz
MZLU153199	BHK3LNDSX7.4	027115	ILLUMINA	../data/fastq_raw/P29362_1025_S78_L004_R1_001.fastq.gz	../data/fastq_raw/P29362_1025_S78_L004_R2_001.fastq.gz
MZLU152767	BHVN22DSX2.2	058135	ILLUMINA	../data/fastq_raw/P23563_1034_S112_L002_R1_001.fastq.gz	../data/fastq_raw/P23563_1034_S112_L002_R2_001.fastq.gz
MZLU153221	BHVN22DSX2.2	208188	ILLUMINA	../data/fastq_raw/P23563_1015_S93_L002_R1_001.fastq.gz	../data/fastq_raw/P23563_1015_S93_L002_R2_001.fastq.gz
MZLU152765	BHVN22DSX2.2	070144	ILLUMINA	../data/fastq_raw/P23563_1026_S104_L002_R1_001.fastq.gz	../data/fastq_raw/P23563_1026_S104_L002_R2_001.fastq.gz
MZLU152766	BHVN22DSX2.2	026114	ILLUMINA	../data/fastq_raw/P23563_1028_S106_L002_R1_001.fastq.gz	../data/fastq_raw/P23563_1028_S106_L002_R2_001.fastq.gz
MZLU153206	BHVN22DSX2.2	207139	ILLUMINA	../data/fastq_raw/P23563_1014_S92_L002_R1_001.fastq.gz	../data/fastq_raw/P23563_1014_S92_L002_R2_001.fastq.gz
MZLU153204	BHVN22DSX2.2	003091	ILLUMINA	../data/fastq_raw/P23563_1018_S96_L002_R1_001.fastq.gz	../data/fastq_raw/P23563_1018_S96_L002_R2_001.fastq.gz
MZLU153205	BHVN22DSX2.2	008096	ILLUMINA	../data/fastq_raw/P23563_1020_S98_L002_R1_001.fastq.gz	../data/fastq_raw/P23563_1020_S98_L002_R2_001.fastq.gz
MZLU152770	BHVN22DSX2.2	019107	ILLUMINA	../data/fastq_raw/P23563_1024_S102_L002_R1_001.fastq.gz	../data/fastq_raw/P23563_1024_S102_L002_R2_001.fastq.gz
MZLU153248	BHVN22DSX2.2	021130	ILLUMINA	../data/fastq_raw/P23563_1025_S103_L002_R1_001.fastq.gz	../data/fastq_raw/P23563_1025_S103_L002_R2_001.fastq.gz
MZLU153216	BHVN22DSX2.2	093148	ILLUMINA	../data/fastq_raw/P23563_1027_S105_L002_R1_001.fastq.gz	../data/fastq_raw/P23563_1027_S105_L002_R2_001.fastq.gz
MZLU153251	BHVN22DSX2.2	028116	ILLUMINA	../data/fastq_raw/P23563_1029_S107_L002_R1_001.fastq.gz	../data/fastq_raw/P23563_1029_S107_L002_R2_001.fastq.gz
MZLU152769	BHVN22DSX2.2	032120	ILLUMINA	../data/fastq_raw/P23563_1030_S108_L002_R1_001.fastq.gz	../data/fastq_raw/P23563_1030_S108_L002_R2_001.fastq.gz
MZLU153250	BHVN22DSX2.2	036137	ILLUMINA	../data/fastq_raw/P23563_1031_S109_L002_R1_001.fastq.gz	../data/fastq_raw/P23563_1031_S109_L002_R2_001.fastq.gz
MZLU153247	BHVN22DSX2.2	043143	ILLUMINA	../data/fastq_raw/P23563_1032_S110_L002_R1_001.fastq.gz	../data/fastq_raw/P23563_1032_S110_L002_R2_001.fastq.gz
MZLU153246	BHVN22DSX2.2	052142	ILLUMINA	../data/fastq_raw/P23563_1033_S111_L002_R1_001.fastq.gz	../data/fastq_raw/P23563_1033_S111_L002_R2_001.fastq.gz
MZLU153040	BHVN22DSX2.2	030118	ILLUMINA	../data/fastq_raw/P23563_1001_S79_L002_R1_001.fastq.gz	../data/fastq_raw/P23563_1001_S79_L002_R2_001.fastq.gz
MZLU153042	BHVN22DSX2.2	193121	ILLUMINA	../data/fastq_raw/P23563_1002_S80_L002_R1_001.fastq.gz	../data/fastq_raw/P23563_1002_S80_L002_R2_001.fastq.gz
MZLU153045	BHVN22DSX2.2	194122	ILLUMINA	../data/fastq_raw/P23563_1003_S81_L002_R1_001.fastq.gz	../data/fastq_raw/P23563_1003_S81_L002_R2_001.fastq.gz
MZLU153046	BHVN22DSX2.2	195123	ILLUMINA	../data/fastq_raw/P23563_1004_S82_L002_R1_001.fastq.gz	../data/fastq_raw/P23563_1004_S82_L002_R2_001.fastq.gz
MZLU153048	BHVN22DSX2.2	172131	ILLUMINA	../data/fastq_raw/P23563_1041_S119_L002_R1_001.fastq.gz	../data/fastq_raw/P23563_1041_S119_L002_R2_001.fastq.gz
